symptom,diseases_with_symptom,disease_frequency,weight
symptoms_of_bladder,11,0.015427769985974754,5.086
toothache,11,0.015427769985974754,5.086
stomach_bloating,11,0.015427769985974754,5.086
vaginal_pain,11,0.015427769985974754,5.086
leg_cramps_or_spasms,11,0.015427769985974754,5.086
lymphedema,11,0.015427769985974754,5.086
focal_weakness,11,0.015427769985974754,5.086
swelling_of_scrotum,12,0.016830294530154277,5.0059
mouth_pain,12,0.016830294530154277,5.0059
skin_irritation,12,0.016830294530154277,5.0059
pain_in_testicles,12,0.016830294530154277,5.0059
sleepiness,12,0.016830294530154277,5.0059
wheezing,12,0.016830294530154277,5.0059
plugged_feeling_in_ear,12,0.016830294530154277,5.0059
increased_heart_rate,12,0.016830294530154277,5.0059
blindness,12,0.016830294530154277,5.0059
spotting_or_bleeding_during_pregnancy,12,0.016830294530154277,5.0059
fluid_retention,13,0.0182328190743338,4.9318
neck_mass,13,0.0182328190743338,4.9318
swollen_eye,13,0.0182328190743338,4.9318
mouth_ulcer,13,0.0182328190743338,4.9318
unpredictable_menstruation,13,0.0182328190743338,4.9318
hot_flashes,14,0.019635343618513323,4.8628
pain_of_the_anus,14,0.019635343618513323,4.8628
constipation,14,0.019635343618513323,4.8628
rectal_bleeding,14,0.019635343618513323,4.8628
arm_swelling,14,0.019635343618513323,4.8628
wrist_swelling,15,0.021037868162692847,4.7983
throat_feels_tight,15,0.021037868162692847,4.7983
cramps_and_spasms,15,0.021037868162692847,4.7983
chills,16,0.02244039270687237,4.7377
ankle_pain,16,0.02244039270687237,4.7377
groin_mass,16,0.02244039270687237,4.7377
paresthesia,16,0.02244039270687237,4.7377
regurgitation_1,16,0.02244039270687237,4.7377
joint_pain,16,0.02244039270687237,4.7377
impotence,16,0.02244039270687237,4.7377
arm_stiffness_or_tightness,17,0.023842917251051893,4.6805
double_vision,17,0.023842917251051893,4.6805
upper_abdominal_pain,17,0.023842917251051893,4.6805
problems_during_pregnancy,17,0.023842917251051893,4.6805
elbow_pain,17,0.023842917251051893,4.6805
hoarse_voice,17,0.023842917251051893,4.6805
feeling_ill,17,0.023842917251051893,4.6805
coryza,17,0.023842917251051893,4.6805
hand_or_finger_stiffness_or_tightness,18,0.025245441795231416,4.6264
knee_swelling,18,0.025245441795231416,4.6264
bones_are_painful,19,0.02664796633941094,4.5752
weight_gain,19,0.02664796633941094,4.5752
temper_problems,19,0.02664796633941094,4.5752
allergic_reaction,19,0.02664796633941094,4.5752
heartburn,19,0.02664796633941094,4.5752
leg_swelling,19,0.02664796633941094,4.5752
elbow_weakness,19,0.02664796633941094,4.5752
skin_moles,19,0.02664796633941094,4.5752
itchiness_of_eye,20,0.028050490883590462,4.5264
foot_or_toe_swelling,21,0.029453015427769985,4.4798
pain_during_pregnancy,21,0.029453015427769985,4.4798
wrist_pain,21,0.029453015427769985,4.4798
excessive_anger,21,0.029453015427769985,4.4798
irregular_appearing_scalp,21,0.029453015427769985,4.4798
lack_of_growth,22,0.030855539971949508,4.4354
lower_body_pain,22,0.030855539971949508,4.4354
foreign_body_sensation_in_eye,22,0.030855539971949508,4.4354
difficulty_breathing,22,0.030855539971949508,4.4354
intermenstrual_bleeding,23,0.03225806451612903,4.3928
seizures,23,0.03225806451612903,4.3928
blood_in_stool,24,0.033660589060308554,4.352
drug_abuse,24,0.033660589060308554,4.352
skin_dryness_peeling_scaliness_or_roughness,24,0.033660589060308554,4.352
lip_swelling,24,0.033660589060308554,4.352
hand_or_finger_swelling,25,0.03506311360448808,4.3128
delusions_or_hallucinations,25,0.03506311360448808,4.3128
vaginal_itching,26,0.0364656381486676,4.275
eye_redness,26,0.0364656381486676,4.275
diminished_hearing,26,0.0364656381486676,4.275
hostile_behavior,26,0.0364656381486676,4.275
acne_or_pimples,26,0.0364656381486676,4.275
frequent_urination,26,0.0364656381486676,4.275
disturbance_of_memory,27,0.037868162692847124,4.2387
spots_or_clouds_in_vision,27,0.037868162692847124,4.2387
decreased_appetite,27,0.037868162692847124,4.2387
lacrimation,27,0.037868162692847124,4.2387
vaginal_discharge,27,0.037868162692847124,4.2387
irregular_heartbeat,28,0.03927068723702665,4.2036
side_pain,29,0.04067321178120617,4.1697
palpitations,29,0.04067321178120617,4.1697
blood_in_urine,30,0.04207573632538569,4.1369
painful_urination,30,0.04207573632538569,4.1369
difficulty_in_swallowing,30,0.04207573632538569,4.1369
involuntary_urination,30,0.04207573632538569,4.1369
shoulder_pain,30,0.04207573632538569,4.1369
suprapubic_pain,30,0.04207573632538569,4.1369
abusing_alcohol,31,0.043478260869565216,4.1051
pelvic_pain,31,0.043478260869565216,4.1051
ache_all_over,31,0.043478260869565216,4.1051
chest_tightness,32,0.04488078541374474,4.0744
low_back_pain,32,0.04488078541374474,4.0744
fainting,32,0.04488078541374474,4.0744
facial_pain,33,0.04628330995792426,4.0445
hand_or_finger_pain,33,0.04628330995792426,4.0445
difficulty_speaking,33,0.04628330995792426,4.0445
insomnia,34,0.047685834502103785,4.0155
emotional_symptoms,34,0.047685834502103785,4.0155
foot_or_toe_pain,34,0.047685834502103785,4.0155
ear_pain,34,0.047685834502103785,4.0155
diarrhea,35,0.04908835904628331,3.9874
hip_pain,35,0.04908835904628331,3.9874
peripheral_edema,35,0.04908835904628331,3.9874
itching_of_skin,35,0.04908835904628331,3.9874
burning_abdominal_pain,35,0.04908835904628331,3.9874
neck_pain,35,0.04908835904628331,3.9874
knee_pain,36,0.05049088359046283,3.96
loss_of_sensation,37,0.051893408134642355,3.9333
retention_of_urine,38,0.05329593267882188,3.9073
arm_pain,40,0.056100981767180924,3.8573
problems_with_movement,41,0.05750350631136045,3.8332
symptoms_of_eye,42,0.05890603085553997,3.8097
skin_growth,43,0.06030855539971949,3.7867
pain_in_eye,46,0.06451612903225806,3.7207
abnormal_involuntary_movements,46,0.06451612903225806,3.7207
anxiety_and_nervousness,46,0.06451612903225806,3.7207
depression,47,0.06591865357643759,3.6997
weakness,47,0.06591865357643759,3.6997
lower_abdominal_pain,48,0.06732117812061711,3.6791
diminished_vision,48,0.06732117812061711,3.6791
fatigue,49,0.06872370266479663,3.6589
skin_rash,49,0.06872370266479663,3.6589
sore_throat,52,0.0729312762973352,3.6006
nasal_congestion,54,0.07573632538569425,3.5635
skin_lesion,55,0.07713884992987377,3.5455
skin_swelling,56,0.0785413744740533,3.5278
abnormal_appearing_skin,68,0.09537166900420757,3.3368
leg_pain,70,0.09817671809256662,3.3082
back_pain,71,0.09957924263674614,3.2942
depressive_or_psychotic_symptoms,76,0.10659186535764376,3.2271
fever,76,0.10659186535764376,3.2271
nausea,79,0.11079943899018233,3.1889
dizziness,88,0.12342215988779803,3.0822
cough,97,0.13604488078541374,2.9859
vomiting,98,0.13744740532959326,2.9758
sharp_chest_pain,101,0.14165497896213183,2.9459
shortness_of_breath,101,0.14165497896213183,2.9459
headache,114,0.15988779803646563,2.826
sharp_abdominal_pain,132,0.18513323983169705,2.6805
